QID,Question,A,B,C,D,Answer,PathID,PathLen,PrScores,EdgeScores,AvgPrScore,AvgEdgeScore,Path,Label,Prob
7011025,Most of the mass of the atom consists of , protons only. , electrons only. , protons and neutrons. , neutrons and electrons.,C,0,2,"[0.262044865713, 0.0045937561977, 0.00328817392396]","[1.28414242978, 1.0]",0.0899755986116,1.14207121489,"atomprotonatom is neutron, proton and electron is part of this.",2.0,0.376575
7011025,Most of the mass of the atom consists of , protons only. , electrons only. , protons and neutrons. , neutrons and electrons.,C,8,2,"[0.262044865713, 0.0045937561977, 0.00326908998879]","[1.28414242978, 1.0]",0.0899692372998,1.14207121489,"atomelectronatom is neutron, proton and electron is part of this.",2.0,0.376575
7011025,Most of the mass of the atom consists of , protons only. , electrons only. , protons and neutrons. , neutrons and electrons.,C,9,4,"[0.262044865713, 0.0045937561977, 0.00104899144708, 0.000665459416452, 0.00326908998879]","[1.28414242978, 1.0, 0.653298266035, 0.653298266035]",0.0543244325526,0.897684740462,"atomelectronatom is neutron, proton and electron is part of this.Electrons is A negatively charged subatomic particle.Electron is A negatively charged subatomic particle./a negatively charged subatomic particle is electron.",2.0,0.376575
7011025,Most of the mass of the atom consists of , protons only. , electrons only. , protons and neutrons. , neutrons and electrons.,C,16,2,"[0.262044865713, 0.00311591573807, 0.00326908998879]","[1.0, 0.585822407284]",0.0894766238133,0.792911203642,atomelectronelectron is a negatively charged part of an atom.,2.0,0.376575
7011025,Most of the mass of the atom consists of , protons only. , electrons only. , protons and neutrons. , neutrons and electrons.,C,17,2,"[0.262044865713, 0.0025330843609, 0.00326908998879]","[1.0, 0.585822407284]",0.0892823466876,0.792911203642,atomelectronelectron is Which part of the atom is the smallest.,2.0,0.376575
7011025,Most of the mass of the atom consists of , protons only. , electrons only. , protons and neutrons. , neutrons and electrons.,C,42,2,"[0.262044865713, 0.0045937561977, 0.00328817392396]","[1.28414242978, 1.0]",0.0899755986116,1.14207121489,"atomprotonatom is neutron, proton and electron is part of this.",2.0,0.376575
7011025,Most of the mass of the atom consists of , protons only. , electrons only. , protons and neutrons. , neutrons and electrons.,C,54,2,"[0.262044865713, 0.0045937561977, 0.00379918670264]","[1.28414242978, 1.0]",0.0901459362044,1.14207121489,"atomneutronatom is neutron, proton and electron is part of this.",2.0,0.376575
7011025,Most of the mass of the atom consists of , protons only. , electrons only. , protons and neutrons. , neutrons and electrons.,C,58,2,"[0.262044865713, 0.00475262901908, 0.00379918670264]","[1.0, 0.722891436776]",0.0901988938116,0.861445718388,atomneutronThe neutral  particle in the atom is the neutron.,2.0,0.376575
7011025,Most of the mass of the atom consists of , protons only. , electrons only. , protons and neutrons. , neutrons and electrons.,C,60,2,"[0.262044865713, 0.00315809011347, 0.00379918670264]","[1.0, 0.722891436776]",0.089667380843,0.861445718388,atomneutronneutron is the part of the atom with NO charge./neutron    is The part of the atom with no charge.,2.0,0.376575
7011025,Most of the mass of the atom consists of , protons only. , electrons only. , protons and neutrons. , neutrons and electrons.,C,94,2,"[0.262044865713, 0.0045937561977, 0.00326908998879]","[1.28414242978, 1.0]",0.0899692372998,1.14207121489,"atomelectronatom is neutron, proton and electron is part of this.",2.0,0.376575
