QID,Question,A,B,C,D,Answer,PathID,PathLen,PrScores,EdgeScores,AvgPrScore,AvgEdgeScore,,,,,,,,,,,,,,,,,PRExplanationQuality,PRExplanationNotes,,,,,,,,,,,,,
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,15,2,[0.191226943194,0.004743563318,0.00250458555434],[1.0,0.670341210219],0.06615836402,0.8351706051,plant cell,-> entails -> plant cell -> is^-1 ->,chloroplast,N/A,Chloroplast is Part of the plant cell where photosynthesis occurs./Chloroplast is part of the plant cell where photosynthesis occurs./chloroplast is part of the plant cell where photosynthesis occurs./chloroplast is the part of the plant cell that contains chlorophyll./chloroplast is The part of the plant cell where photosynthesis takes place./chloroplast is Part of a plant cell that captures energy from the sun to produce food./chloroplast is a part of the plant cell that uses energy from sunlight to make food.,,,,,,,,,3?,"Chloroplast is part of plant cell,photosynthesis",,,,,,,,,,,,,
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,24,2,[0.191226943194,0.004415664423,0.00250458555434],[1.0,0.58277333547],0.06604906439,0.7913866677,plant cell,-> entails -> organelle -> is^-1 ->,chloroplast,N/A,chloroplast is organelles in plant and algae cells in which photosynthesis takes place.,,,,,,,,,3,"Chloroplast is organelles in plant and algae cell,photosynthesis",,,,,,,,,,,,,
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,25,2,[0.191226943194,0.003921552052,0.00250458555434],[1.0,0.565302327385],0.06588436027,0.7826511637,plant cell,-> entails -> green structure -> is^-1 ->,chloroplast,N/A,chloroplast is round,green structure in a plant cell that contains chlorophyll.,,,,,,,,3,chloroplast is part of plant cell,,,,,,,,,,,,,
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,26,2,[0.191226943194,0.007867222786,0.00250458555434],[1.0,0.651566316503],0.06719958384,0.8257831583,plant cell,-> entails -> * plant -> is^-1 ->,chloroplast,N/A,chloroplast is *plant.,,,,,,,,,2,chloroplast is *plant.,,,,,,,,,,,,,
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,70,2,[0.191226943194,0.003843020262,0.00250458555434],[1.0,0.940528444832],0.065858183,0.9702642224,plant cell,-> entails -> plant cell structure -> is^-1 ->,chloroplast,N/A,chloroplast is a plant cell structure in which photosynthesis occurs./Chloroplast is A plant cell structure in which photosynthesis occurs.,,,,,,,,,3,Chloroplast is A plant cell structure in which photosynthesis occurs.,,,,,,,,,,,,,
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,73,2,[0.191226943194,0.004587406501,0.00250458555434],[1.0,1.00766662447],0.06610631175,1.003833312,plant cell,-> entails -> plant cell -> is found^-1 ->,chloroplast,N/A,Chloroplast is Found in plant cells only./chloroplast is in plant cells only./Chloroplast is Found in plant cells only.,,,,,,,,,4,Chloroplast is Found in plant cells only.,,,,,,,,,,,,,
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,77,2,[0.191226943194,0.004284338364,0.00250458555434],[1.0,0.611528550175],0.06600528904,0.8057642751,plant cell,-> entails -> plant cell -> is^-1 ->,chloroplast,N/A,Chloroplast is Plant cell only allows food to be made through photosynthesis./Chloroplast is Plant cell only allows food to be made through photosynthesis./chloroplast is Plant cell only allows food to be made through photosynthesis.,,,,,,,,,3,Chloroplast is Plant cell only allows food to be made through photosynthesis,,,,,,,,,,,,,
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,79,2,[0.191226943194,0.002046386693,0.00250458555434],[0.549901323465,1.0],0.06525930515,0.7749506617,plant cell,-> contains -> cell wall,-> entails ->,chloroplast,plant cell is contains a cell wall,chloroplast and large vacuole.,N/A,,,,,,,2,Chloroplast plant cell,,,,,,,,,,,,,
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,86,2,[0.191226943194,0.003743536789,0.00250458555434],[1.0,0.608990411857],0.06582502185,0.8044952059,plant cell,-> entails -> feature plant cell -> is^-1 ->,chloroplast,N/A,A chloroplast is A feature a plant cell has and animal cell doesnt.,,,,,,,,,4,A chloroplast is A feature a plant cell has and animal cell doesnt.,,,,,,,,,,,,,
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,87,2,[0.191226943194,0.007100992451,0.00250458555434],[1.0,0.863205104093],0.06694417373,0.931602552,plant cell,-> entails -> plant cell -> can be found^-1 ->,chloroplast,N/A,A chloroplast can be found in a plant cell.,,,,,,,,,3-4(only missing),A chloroplast can be found in a plant cell.,,,,,,,,,,,,,
